,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
0,118.39396,119.129997,2016-12-30,119.650002,118.720001,118.779999,TLT,10613900
1,118.215072,118.949997,2016-12-29,119.269997,118.660004,118.800003,TLT,8581400
2,117.797668,118.529999,2016-12-28,118.879997,117.699997,117.860001,TLT,7578600
3,116.942981,117.669998,2016-12-27,117.699997,117.230003,117.419998,TLT,5276600
4,117.320638,118.050003,2016-12-23,118.389999,117.949997,118.239998,TLT,4461600
5,117.082116,117.809998,2016-12-22,118.00,117.50,117.529999,TLT,5177800
6,117.291819,118.330002,2016-12-21,118.400002,117.730003,117.919998,TLT,4624700
7,116.776377,117.809998,2016-12-20,117.900002,117.379997,117.629997,TLT,7030600
8,117.361204,118.400002,2016-12-19,118.580002,117.739998,117.980003,TLT,10868300
9,116.112257,117.139999,2016-12-16,117.919998,116.800003,117.610001,TLT,14924600
10,116.379892,117.410004,2016-12-15,118.290001,117.029999,117.559998,TLT,12400500
11,115.795065,116.82,2016-12-14,119.209999,116.800003,119.080002,TLT,16618400
12,117.103483,118.139999,2016-12-13,118.489998,117.440002,118.400002,TLT,12189200
13,116.68717,117.720001,2016-12-12,117.800003,116.879997,117.269997,TLT,9496300
14,116.469099,117.50,2016-12-09,118.860001,117.279999,118.639999,TLT,14646400
15,117.936117,118.980003,2016-12-08,119.309998,118.779999,119.150002,TLT,12041100
16,119.343657,120.400002,2016-12-07,120.620003,119.82,119.82,TLT,10392200
17,118.332602,119.379997,2016-12-06,119.940002,119.120003,119.339996,TLT,11526600
18,118.421816,119.470001,2016-12-05,120.400002,118.449997,118.93,TLT,12100100
19,118.550673,119.599998,2016-12-02,120.209999,119.139999,119.169998,TLT,12487500
20,117.688311,118.730003,2016-12-01,118.989998,117.639999,118.510002,TLT,21715700
21,118.944186,120.239998,2016-11-30,121.010002,119.480003,119.970001,TLT,21163500
22,120.902851,122.220001,2016-11-29,122.400002,121.209999,121.440002,TLT,8363000
23,120.398345,121.709999,2016-11-28,121.730003,121.089996,121.410004,TLT,8555000
24,119.517937,120.82,2016-11-25,121.290001,120.400002,121.190002,TLT,3126300
25,119.339877,120.639999,2016-11-23,120.910004,119.25,119.989998,TLT,13563500
26,119.804813,121.110001,2016-11-22,121.760002,120.879997,121.660004,TLT,9989900
27,119.844383,121.150002,2016-11-21,121.480003,120.889999,121.209999,TLT,6488100
28,119.547613,120.849998,2016-11-18,121.970001,120.339996,121.629997,TLT,13577700
29,119.893839,121.199997,2016-11-17,122.110001,120.989998,121.949997,TLT,11221600
30,121.684338,123.010002,2016-11-16,123.139999,122.169998,122.300003,TLT,9149500
31,120.596194,121.910004,2016-11-15,122.809998,121.779999,122.220001,TLT,11963700
32,120.002655,121.309998,2016-11-14,122.660004,120.730003,121.279999,TLT,21174400
33,120.724791,122.040001,2016-11-11,123.050003,121.650002,122.959999,TLT,10040200
34,121.407357,122.730003,2016-11-10,124.959999,122.720001,123.970001,TLT,22961200
35,123.227524,124.57,2016-11-09,127.370003,124.220001,127.220001,TLT,31233500
36,128.688032,130.089996,2016-11-08,131.210007,129.710007,131.020004,TLT,7576500
37,129.212319,130.619995,2016-11-07,131.00,130.440002,130.75,TLT,5386700
38,130.32026,131.740005,2016-11-04,131.789993,131.130005,131.270004,TLT,7622600
39,129.16287,130.570007,2016-11-03,131.050003,130.440002,130.75,TLT,6085400
40,130.16198,131.580002,2016-11-02,132.110001,131.029999,131.300003,TLT,8666200
41,129.598116,131.009995,2016-11-01,131.600006,129.880005,130.160004,TLT,12622400
42,129.588231,131.25,2016-10-31,131.289993,130.710007,130.889999,TLT,7047500
43,128.798357,130.449997,2016-10-28,130.929993,130.330002,130.389999,TLT,7541000
44,129.084693,130.740005,2016-10-27,131.070007,130.059998,131.070007,TLT,10044700
45,130.506449,132.179993,2016-10-26,132.800003,131.990005,132.460007,TLT,5842500
46,131.395063,133.080002,2016-10-25,133.559998,132.490005,132.529999,TLT,5134700
47,131.049488,132.729996,2016-10-24,133.449997,132.289993,133.410004,TLT,6507500
48,131.622146,133.309998,2016-10-21,133.720001,132.869995,133.520004,TLT,9222700
49,131.424682,133.110001,2016-10-20,133.75,132.899994,133.639999,TLT,6082300
50,131.286455,132.970001,2016-10-19,133.270004,132.320007,132.369995,TLT,6941300
51,131.177847,132.860001,2016-10-18,132.889999,131.830002,131.860001,TLT,7151000
52,130.753283,132.429993,2016-10-17,132.740005,132.089996,132.100006,TLT,10595900
53,129.923922,131.589996,2016-10-14,132.949997,131.529999,132.270004,TLT,11415100
54,131.770256,133.460007,2016-10-13,133.929993,133.369995,133.639999,TLT,7080600
55,131.276587,132.960007,2016-10-12,133.020004,132.240005,132.669998,TLT,7582400
56,131.148228,132.830002,2016-10-11,133.550003,132.570007,132.860001,TLT,9670400
57,131.444433,133.130005,2016-10-10,133.160004,132.509995,132.850006,TLT,6089100
58,132.224424,133.919998,2016-10-07,134.289993,133.089996,133.929993,TLT,9953200
59,132.135567,133.830002,2016-10-06,134.690002,133.679993,133.970001,TLT,7839900
60,132.876071,134.580002,2016-10-05,135.080002,134.119995,135.020004,TLT,8917700
61,133.498099,135.210007,2016-10-04,136.839996,135.160004,136.619995,TLT,12048700
62,135.077833,136.809998,2016-10-03,137.770004,136.759995,137.679993,TLT,7588800
63,135.525096,137.509995,2016-09-30,138.639999,136.869995,138.550003,TLT,11747100
64,136.747203,138.75,2016-09-29,139.070007,137.449997,137.559998,TLT,8319800
