,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
0,122.095093,122.510002,2016-12-30,122.580002,122.349998,122.370003,IEI,339300
1,121.915702,122.330002,2016-12-29,122.410004,122.139999,122.150002,IEI,193600
2,121.626684,122.040001,2016-12-28,122.099998,121.75,121.760002,IEI,217300
3,121.367562,121.779999,2016-12-27,121.790001,121.720001,121.75,IEI,490400
4,121.527024,121.940002,2016-12-23,121.949997,121.870003,121.949997,IEI,169000
5,121.417396,121.830002,2016-12-22,121.879997,121.75,121.790001,IEI,278100
6,121.43235,121.970001,2016-12-21,122.010002,121.919998,122.00,IEI,335000
7,121.352701,121.889999,2016-12-20,121.900002,121.699997,121.769997,IEI,332400
8,121.452258,121.989998,2016-12-19,122.029999,121.800003,121.910004,IEI,455400
9,121.123719,121.660004,2016-12-16,121.889999,121.559998,121.650002,IEI,521900
10,120.984329,121.519997,2016-12-15,121.720001,121.459999,121.639999,IEI,389600
11,121.243185,121.779999,2016-12-14,122.75,121.779999,122.650002,IEI,272200
12,121.950054,122.489998,2016-12-13,122.589996,122.379997,122.559998,IEI,411300
13,121.979921,122.519997,2016-12-12,122.620003,122.400002,122.440002,IEI,297200
14,121.960012,122.50,2016-12-09,122.870003,122.470001,122.809998,IEI,732200
15,122.268644,122.809998,2016-12-08,122.889999,122.730003,122.809998,IEI,866400
16,122.457808,123.00,2016-12-07,123.00,122.839996,122.870003,IEI,277200
17,122.228819,122.769997,2016-12-06,122.790001,122.68,122.709999,IEI,244500
18,122.129261,122.669998,2016-12-05,122.860001,122.43,122.510002,IEI,452500
19,122.218868,122.760002,2016-12-02,122.830002,122.540001,122.540001,IEI,294800
20,121.850497,122.389999,2016-12-01,122.449997,122.120003,122.330002,IEI,2437400
21,122.068525,122.739998,2016-11-30,122.919998,122.699997,122.760002,IEI,788800
22,122.446451,123.120003,2016-11-29,123.129997,122.860001,122.93,IEI,311400
23,122.366887,123.040001,2016-11-28,123.07,122.900002,122.940002,IEI,153600
24,122.118255,122.790001,2016-11-25,122.849998,122.639999,122.779999,IEI,151800
25,122.09836,122.769997,2016-11-23,122.910004,122.529999,122.699997,IEI,330600
26,122.466338,123.139999,2016-11-22,123.25,123.029999,123.099998,IEI,1336900
27,122.346992,123.019997,2016-11-21,123.160004,122.959999,123.129997,IEI,265900
28,122.327105,123.00,2016-11-18,123.379997,122.970001,123.290001,IEI,264700
29,122.625467,123.300003,2016-11-17,123.57,123.269997,123.57,IEI,281700
30,122.874099,123.550003,2016-11-16,123.639999,123.349998,123.379997,IEI,925100
31,122.874099,123.550003,2016-11-15,123.620003,123.449997,123.50,IEI,296100
32,122.933768,123.610001,2016-11-14,123.849998,123.449997,123.699997,IEI,892100
33,123.351469,124.029999,2016-11-11,124.349998,123.989998,124.260002,IEI,373400
34,123.560319,124.239998,2016-11-10,124.620003,124.190002,124.349998,IEI,650500
35,123.878568,124.559998,2016-11-09,125.25,124.459999,125.25,IEI,292200
36,124.723924,125.410004,2016-11-08,125.669998,125.349998,125.639999,IEI,351200
37,125.012331,125.699997,2016-11-07,125.739998,125.650002,125.669998,IEI,178200
38,125.33058,126.019997,2016-11-04,126.019997,125.800003,125.809998,IEI,192100
39,125.12173,125.809998,2016-11-03,125.830002,125.660004,125.660004,IEI,718900
40,125.101842,125.790001,2016-11-02,125.900002,125.620003,125.709999,IEI,234200
41,124.902932,125.589996,2016-11-01,125.68,125.279999,125.330002,IEI,802300
42,124.798515,125.620003,2016-10-31,125.699997,125.57,125.620003,IEI,659500
43,124.738902,125.559998,2016-10-28,125.629997,125.440002,125.449997,IEI,404200
